Batch	deathturmeric.sre
UV4-200 024715	None
Sample001 Cycle01	11/11/2022 14:02:52PM
nm	A
693.00	0.217
694.00	0.217
695.00	0.218
696.00	0.217
697.00	0.217
698.00	0.217
699.00	0.217
700.00	0.217
701.00	0.217
702.00	0.217
703.00	0.217
704.00	0.217
705.00	0.217
706.00	0.216
707.00	0.216
708.00	0.217
709.00	0.217
710.00	0.217
711.00	0.217
712.00	0.217
713.00	0.217
714.00	0.217
715.00	0.217
716.00	0.216
717.00	0.216
718.00	0.216
719.00	0.216
720.00	0.216
721.00	0.217
722.00	0.217
723.00	0.217
724.00	0.216
725.00	0.216
726.00	0.216
727.00	0.216
728.00	0.217
729.00	0.216
730.00	0.217
731.00	0.217
732.00	0.217
733.00	0.217
734.00	0.216
735.00	0.217
736.00	0.217
737.00	0.217
738.00	0.218
739.00	0.217
740.00	0.216
741.00	0.217
742.00	0.217
743.00	0.218
744.00	0.218
745.00	0.217
746.00	0.217
747.00	0.217
748.00	0.217
749.00	0.217
750.00	0.217
751.00	0.217
752.00	0.216
753.00	0.217
754.00	0.217
755.00	0.217
756.00	0.217
757.00	0.217
758.00	0.217
759.00	0.218
760.00	0.218
761.00	0.216
762.00	0.217
763.00	0.218
764.00	0.218
765.00	0.217
766.00	0.218
767.00	0.217
768.00	0.218
769.00	0.218
770.00	0.218
771.00	0.217
772.00	0.219
773.00	0.219
774.00	0.219
775.00	0.219
776.00	0.220
777.00	0.220
778.00	0.219
779.00	0.219
780.00	0.218
781.00	0.218
782.00	0.218
783.00	0.218
784.00	0.220
785.00	0.220
786.00	0.219
787.00	0.218
788.00	0.218
789.00	0.219
790.00	0.219
791.00	0.220
792.00	0.219
793.00	0.221
794.00	0.220
795.00	0.219
796.00	0.219
797.00	0.220
798.00	0.220
799.00	0.222
800.00	0.218
