Batch	scan005.sre
Evolution 600 288002	100%T Baseline Correction
wiped# Cycle01	08/11/2022 14:31:56PM
nm	A
556.00	0.198
557.00	0.198
558.00	0.194
559.00	0.193
560.00	0.191
561.00	0.191
562.00	0.190
563.00	0.188
564.00	0.188
565.00	0.191
566.00	0.188
567.00	0.190
568.00	0.192
569.00	0.194
570.00	0.194
571.00	0.194
572.00	0.194
573.00	0.192
574.00	0.196
575.00	0.195
576.00	0.193
577.00	0.192
578.00	0.190
579.00	0.191
580.00	0.189
581.00	0.185
582.00	0.184
583.00	0.183
584.00	0.181
585.00	0.179
586.00	0.182
587.00	0.181
588.00	0.181
589.00	0.180
590.00	0.182
591.00	0.184
592.00	0.181
593.00	0.184
594.00	0.184
595.00	0.185
596.00	0.185
597.00	0.184
598.00	0.184
599.00	0.185
600.00	0.183
