Batch	SentiGlass_14Nov009.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	14/11/2022 11:08:07AM
nm	A
539.00	0.415
540.00	0.410
541.00	0.403
542.00	0.398
543.00	0.394
544.00	0.390
545.00	0.384
546.00	0.379
547.00	0.374
548.00	0.366
549.00	0.359
550.00	0.354
551.00	0.348
552.00	0.339
553.00	0.333
554.00	0.325
555.00	0.322
556.00	0.317
557.00	0.308
558.00	0.302
559.00	0.295
560.00	0.289
561.00	0.282
562.00	0.274
563.00	0.266
564.00	0.260
565.00	0.254
566.00	0.248
567.00	0.244
568.00	0.233
569.00	0.229
570.00	0.224
571.00	0.215
572.00	0.212
573.00	0.204
574.00	0.200
575.00	0.194
576.00	0.189
577.00	0.182
578.00	0.179
579.00	0.176
580.00	0.171
581.00	0.165
582.00	0.159
583.00	0.154
584.00	0.149
585.00	0.148
586.00	0.141
587.00	0.136
588.00	0.134
589.00	0.127
590.00	0.124
591.00	0.119
592.00	0.118
593.00	0.115
594.00	0.110
595.00	0.108
596.00	0.105
597.00	0.102
598.00	0.097
599.00	0.098
600.00	0.093
601.00	0.091
602.00	0.089
603.00	0.084
604.00	0.082
605.00	0.082
606.00	0.079
607.00	0.076
608.00	0.071
609.00	0.066
610.00	0.067
611.00	0.064
612.00	0.060
613.00	0.058
614.00	0.055
615.00	0.054
616.00	0.053
617.00	0.051
618.00	0.050
619.00	0.047
620.00	0.049
621.00	0.045
622.00	0.044
623.00	0.042
624.00	0.040
625.00	0.038
626.00	0.038
627.00	0.035
628.00	0.035
629.00	0.031
630.00	0.029
631.00	0.029
632.00	0.030
633.00	0.026
634.00	0.023
635.00	0.020
636.00	0.019
637.00	0.017
638.00	0.017
639.00	0.015
640.00	0.015
641.00	0.013
642.00	0.010
643.00	0.009
644.00	0.008
645.00	0.007
646.00	0.007
647.00	0.004
648.00	0.004
649.00	0.002
650.00	0.002
651.00	-0.001
652.00	0.000
653.00	0.001
654.00	-0.002
655.00	-0.003
656.00	-0.004
657.00	-0.008
658.00	-0.008
659.00	-0.007
660.00	-0.007
661.00	-0.012
662.00	-0.013
663.00	-0.011
664.00	-0.014
665.00	-0.016
666.00	-0.016
667.00	-0.018
668.00	-0.019
669.00	-0.019
670.00	-0.021
671.00	-0.023
672.00	-0.023
673.00	-0.023
674.00	-0.027
675.00	-0.028
676.00	-0.025
677.00	-0.030
678.00	-0.029
679.00	-0.031
680.00	-0.030
681.00	-0.030
682.00	-0.031
683.00	-0.030
684.00	-0.031
685.00	-0.032
686.00	-0.031
687.00	-0.033
688.00	-0.033
689.00	-0.035
690.00	-0.034
691.00	-0.036
692.00	-0.038
693.00	-0.038
694.00	-0.041
