Batch	SentiGlass_14Nov010.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	14/11/2022 11:11:15AM
nm	A
528.00	0.658
529.00	0.653
530.00	0.648
531.00	0.643
532.00	0.637
533.00	0.631
534.00	0.622
535.00	0.614
536.00	0.607
537.00	0.598
538.00	0.591
539.00	0.584
540.00	0.575
541.00	0.564
542.00	0.556
543.00	0.548
544.00	0.539
545.00	0.531
546.00	0.522
547.00	0.513
548.00	0.504
549.00	0.493
550.00	0.484
551.00	0.474
552.00	0.461
553.00	0.452
554.00	0.440
555.00	0.432
556.00	0.421
557.00	0.409
558.00	0.400
559.00	0.387
560.00	0.379
561.00	0.370
562.00	0.360
563.00	0.351
564.00	0.344
565.00	0.333
566.00	0.325
567.00	0.320
568.00	0.311
569.00	0.301
570.00	0.295
571.00	0.284
572.00	0.278
573.00	0.268
574.00	0.259
575.00	0.254
576.00	0.241
577.00	0.236
578.00	0.229
579.00	0.224
580.00	0.215
581.00	0.208
582.00	0.201
583.00	0.195
584.00	0.190
585.00	0.188
586.00	0.182
587.00	0.177
588.00	0.173
589.00	0.167
590.00	0.163
591.00	0.160
592.00	0.156
593.00	0.151
594.00	0.144
595.00	0.140
596.00	0.134
597.00	0.131
598.00	0.125
599.00	0.123
600.00	0.117
601.00	0.112
602.00	0.108
603.00	0.103
604.00	0.101
605.00	0.099
606.00	0.096
607.00	0.093
608.00	0.091
609.00	0.087
610.00	0.087
611.00	0.085
612.00	0.082
613.00	0.080
614.00	0.075
615.00	0.075
616.00	0.072
617.00	0.068
618.00	0.067
619.00	0.062
620.00	0.062
621.00	0.055
622.00	0.054
623.00	0.051
624.00	0.049
625.00	0.045
626.00	0.044
627.00	0.041
628.00	0.038
629.00	0.038
630.00	0.034
631.00	0.034
632.00	0.034
633.00	0.033
634.00	0.029
635.00	0.027
636.00	0.027
637.00	0.023
638.00	0.023
639.00	0.022
640.00	0.021
641.00	0.017
642.00	0.017
643.00	0.014
644.00	0.013
645.00	0.012
646.00	0.010
647.00	0.007
648.00	0.005
649.00	0.003
650.00	0.003
651.00	-0.001
652.00	-0.002
653.00	-0.004
654.00	-0.006
655.00	-0.006
656.00	-0.009
657.00	-0.012
658.00	-0.012
659.00	-0.012
660.00	-0.013
661.00	-0.016
662.00	-0.017
663.00	-0.016
664.00	-0.019
665.00	-0.019
666.00	-0.020
667.00	-0.022
668.00	-0.023
669.00	-0.022
670.00	-0.024
671.00	-0.025
672.00	-0.027
673.00	-0.027
674.00	-0.030
675.00	-0.030
676.00	-0.031
677.00	-0.036
678.00	-0.036
679.00	-0.037
680.00	-0.038
681.00	-0.039
682.00	-0.039
683.00	-0.041
684.00	-0.044
685.00	-0.046
686.00	-0.044
687.00	-0.047
688.00	-0.048
689.00	-0.050
690.00	-0.049
691.00	-0.053
692.00	-0.053
693.00	-0.054
694.00	-0.055
695.00	-0.055
696.00	-0.055
697.00	-0.056
698.00	-0.056
699.00	-0.056
700.00	-0.058
701.00	-0.061
702.00	-0.060
703.00	-0.063
704.00	-0.061
705.00	-0.064
706.00	-0.066
707.00	-0.066
708.00	-0.067
709.00	-0.071
710.00	-0.073
711.00	-0.074
712.00	-0.074
713.00	-0.077
714.00	-0.079
715.00	-0.083
716.00	-0.083
717.00	-0.085
718.00	-0.086
719.00	-0.090
720.00	-0.091
721.00	-0.089
722.00	-0.092
723.00	-0.092
724.00	-0.094
725.00	-0.093
726.00	-0.094
727.00	-0.093
728.00	-0.095
729.00	-0.092
730.00	-0.092
731.00	-0.091
732.00	-0.092
733.00	-0.092
734.00	-0.090
735.00	-0.091
736.00	-0.091
737.00	-0.091
