Batch	scan003.sre
UV540 113302	None
Sample001 Cycle01	08/11/2022 15:48:45PM
nm	A
590.00	0.630
591.00	0.616
592.00	0.604
593.00	0.595
594.00	0.584
595.00	0.572
596.00	0.563
597.00	0.553
598.00	0.544
599.00	0.536
600.00	0.529
601.00	0.522
602.00	0.512
603.00	0.504
604.00	0.498
605.00	0.491
606.00	0.485
607.00	0.477
608.00	0.473
609.00	0.466
610.00	0.460
611.00	0.454
612.00	0.450
613.00	0.444
614.00	0.438
615.00	0.435
616.00	0.430
617.00	0.427
618.00	0.422
619.00	0.417
620.00	0.413
621.00	0.409
622.00	0.406
623.00	0.403
624.00	0.399
625.00	0.395
626.00	0.393
627.00	0.389
628.00	0.386
629.00	0.382
630.00	0.379
631.00	0.377
632.00	0.373
633.00	0.369
634.00	0.368
635.00	0.364
636.00	0.361
637.00	0.359
638.00	0.356
639.00	0.354
640.00	0.351
641.00	0.348
642.00	0.345
643.00	0.344
644.00	0.340
645.00	0.338
646.00	0.336
647.00	0.333
648.00	0.331
649.00	0.330
650.00	0.327
651.00	0.323
652.00	0.322
653.00	0.321
654.00	0.318
655.00	0.316
656.00	0.313
657.00	0.312
658.00	0.310
659.00	0.307
660.00	0.304
661.00	0.303
662.00	0.301
663.00	0.299
664.00	0.297
665.00	0.295
666.00	0.294
667.00	0.290
668.00	0.288
669.00	0.287
670.00	0.284
671.00	0.283
672.00	0.281
673.00	0.280
674.00	0.276
675.00	0.275
676.00	0.274
677.00	0.271
678.00	0.270
679.00	0.268
680.00	0.266
681.00	0.265
682.00	0.261
683.00	0.261
684.00	0.259
685.00	0.257
686.00	0.254
687.00	0.253
688.00	0.253
689.00	0.249
690.00	0.246
691.00	0.245
692.00	0.244
693.00	0.242
694.00	0.240
695.00	0.237
696.00	0.236
697.00	0.235
698.00	0.233
699.00	0.231
700.00	0.231
701.00	0.226
702.00	0.225
703.00	0.223
704.00	0.222
705.00	0.220
706.00	0.217
707.00	0.217
708.00	0.215
709.00	0.213
710.00	0.212
711.00	0.210
712.00	0.208
713.00	0.205
714.00	0.205
715.00	0.203
716.00	0.201
717.00	0.200
718.00	0.197
719.00	0.196
720.00	0.193
721.00	0.193
722.00	0.191
723.00	0.189
724.00	0.188
725.00	0.186
726.00	0.184
727.00	0.183
728.00	0.180
729.00	0.178
730.00	0.177
731.00	0.175
732.00	0.173
733.00	0.171
734.00	0.172
735.00	0.172
736.00	0.169
737.00	0.168
738.00	0.166
739.00	0.166
740.00	0.163
741.00	0.162
742.00	0.159
743.00	0.159
744.00	0.158
745.00	0.155
746.00	0.155
747.00	0.154
748.00	0.152
749.00	0.150
750.00	0.150
751.00	0.149
752.00	0.146
753.00	0.145
754.00	0.146
755.00	0.144
756.00	0.144
757.00	0.142
758.00	0.141
759.00	0.139
760.00	0.138
761.00	0.139
762.00	0.136
763.00	0.135
764.00	0.135
765.00	0.135
766.00	0.132
767.00	0.131
768.00	0.131
769.00	0.131
770.00	0.130
771.00	0.128
772.00	0.129
773.00	0.128
774.00	0.126
775.00	0.127
776.00	0.126
777.00	0.126
778.00	0.125
779.00	0.123
780.00	0.124
781.00	0.122
782.00	0.122
783.00	0.122
784.00	0.123
785.00	0.120
786.00	0.119
787.00	0.120
788.00	0.119
789.00	0.117
790.00	0.118
791.00	0.115
792.00	0.117
793.00	0.116
794.00	0.114
795.00	0.115
796.00	0.115
797.00	0.114
798.00	0.114
799.00	0.112
800.00	0.115
