Batch	SentiGlass_14Nov007.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	14/11/2022 11:00:37AM
nm	A
540.00	0.877
541.00	0.874
542.00	0.875
543.00	0.873
544.00	0.875
545.00	0.875
546.00	0.875
547.00	0.874
548.00	0.874
549.00	0.873
550.00	0.873
551.00	0.873
552.00	0.871
553.00	0.870
554.00	0.868
555.00	0.870
556.00	0.871
557.00	0.867
558.00	0.869
559.00	0.866
560.00	0.865
561.00	0.863
562.00	0.864
563.00	0.862
564.00	0.862
565.00	0.859
566.00	0.858
567.00	0.860
568.00	0.857
569.00	0.856
570.00	0.856
571.00	0.851
572.00	0.851
573.00	0.850
574.00	0.846
575.00	0.846
576.00	0.841
577.00	0.840
578.00	0.839
579.00	0.837
580.00	0.834
581.00	0.830
582.00	0.828
583.00	0.824
584.00	0.821
585.00	0.819
586.00	0.817
587.00	0.811
588.00	0.807
589.00	0.802
590.00	0.799
591.00	0.796
592.00	0.793
593.00	0.788
594.00	0.780
595.00	0.778
596.00	0.772
597.00	0.767
598.00	0.760
599.00	0.757
600.00	0.750
601.00	0.742
602.00	0.738
603.00	0.732
604.00	0.724
605.00	0.720
606.00	0.715
607.00	0.707
608.00	0.700
609.00	0.692
610.00	0.689
611.00	0.682
612.00	0.674
613.00	0.669
614.00	0.660
615.00	0.656
616.00	0.647
617.00	0.641
618.00	0.635
619.00	0.628
620.00	0.623
621.00	0.615
622.00	0.609
623.00	0.603
624.00	0.597
625.00	0.589
626.00	0.582
627.00	0.577
628.00	0.570
629.00	0.563
630.00	0.558
631.00	0.552
632.00	0.548
633.00	0.541
634.00	0.534
635.00	0.526
636.00	0.521
637.00	0.514
638.00	0.509
639.00	0.503
640.00	0.498
641.00	0.489
642.00	0.485
643.00	0.479
644.00	0.473
645.00	0.468
646.00	0.462
647.00	0.455
648.00	0.450
649.00	0.443
650.00	0.440
651.00	0.431
652.00	0.427
653.00	0.421
654.00	0.415
655.00	0.410
656.00	0.402
657.00	0.395
658.00	0.389
659.00	0.385
660.00	0.379
661.00	0.371
662.00	0.364
663.00	0.359
664.00	0.351
665.00	0.346
666.00	0.338
667.00	0.330
668.00	0.325
669.00	0.319
670.00	0.313
671.00	0.305
672.00	0.300
673.00	0.293
674.00	0.285
675.00	0.279
676.00	0.274
677.00	0.265
678.00	0.260
679.00	0.254
680.00	0.247
681.00	0.242
682.00	0.238
683.00	0.231
684.00	0.224
685.00	0.218
686.00	0.214
687.00	0.205
688.00	0.201
689.00	0.195
690.00	0.190
691.00	0.183
692.00	0.177
693.00	0.172
694.00	0.165
695.00	0.160
696.00	0.156
697.00	0.150
698.00	0.145
699.00	0.140
700.00	0.135
701.00	0.129
702.00	0.126
703.00	0.121
704.00	0.117
705.00	0.110
706.00	0.106
707.00	0.104
708.00	0.099
709.00	0.092
710.00	0.087
711.00	0.085
712.00	0.081
713.00	0.075
714.00	0.072
715.00	0.066
716.00	0.063
717.00	0.058
718.00	0.055
719.00	0.050
720.00	0.046
721.00	0.046
722.00	0.041
723.00	0.038
724.00	0.034
725.00	0.033
726.00	0.030
727.00	0.029
728.00	0.024
729.00	0.025
730.00	0.024
731.00	0.022
732.00	0.020
733.00	0.019
734.00	0.018
735.00	0.015
736.00	0.014
737.00	0.012
738.00	0.013
739.00	0.011
740.00	0.009
741.00	0.005
742.00	0.002
743.00	0.002
744.00	0.000
745.00	-0.004
746.00	-0.004
747.00	-0.007
748.00	-0.011
749.00	-0.013
750.00	-0.016
751.00	-0.016
752.00	-0.018
753.00	-0.019
754.00	-0.022
755.00	-0.021
756.00	-0.024
757.00	-0.024
758.00	-0.022
759.00	-0.024
760.00	-0.023
761.00	-0.023
762.00	-0.024
763.00	-0.025
764.00	-0.024
765.00	-0.024
766.00	-0.023
767.00	-0.023
768.00	-0.023
769.00	-0.023
770.00	-0.024
771.00	-0.024
772.00	-0.024
773.00	-0.025
774.00	-0.024
775.00	-0.029
776.00	-0.030
777.00	-0.030
778.00	-0.031
779.00	-0.033
780.00	-0.034
781.00	-0.037
782.00	-0.038
783.00	-0.039
784.00	-0.041
785.00	-0.039
786.00	-0.042
787.00	-0.043
788.00	-0.043
789.00	-0.044
790.00	-0.044
791.00	-0.044
792.00	-0.043
793.00	-0.046
794.00	-0.045
795.00	-0.042
796.00	-0.041
797.00	-0.041
798.00	-0.040
799.00	-0.042
800.00	-0.042
