Batch	scan003-blueberry.sre
UV540 113302	None
blueberry03 Cycle01	08/11/2022 16:21:48PM
nm	A
592.00	0.887
593.00	0.854
594.00	0.821
595.00	0.788
596.00	0.757
597.00	0.728
598.00	0.700
599.00	0.673
600.00	0.646
601.00	0.623
602.00	0.598
603.00	0.575
604.00	0.553
605.00	0.532
606.00	0.511
607.00	0.491
608.00	0.473
609.00	0.455
610.00	0.437
611.00	0.421
612.00	0.403
613.00	0.390
614.00	0.376
615.00	0.363
616.00	0.350
617.00	0.336
618.00	0.324
619.00	0.312
620.00	0.301
621.00	0.289
622.00	0.280
623.00	0.268
624.00	0.260
625.00	0.250
626.00	0.242
627.00	0.233
628.00	0.224
629.00	0.215
630.00	0.208
631.00	0.200
632.00	0.194
633.00	0.186
634.00	0.180
635.00	0.173
636.00	0.166
637.00	0.160
638.00	0.154
639.00	0.148
640.00	0.142
641.00	0.137
642.00	0.131
643.00	0.126
644.00	0.120
645.00	0.117
646.00	0.112
647.00	0.106
648.00	0.102
649.00	0.099
650.00	0.095
651.00	0.090
652.00	0.086
653.00	0.083
654.00	0.079
655.00	0.075
656.00	0.072
657.00	0.069
658.00	0.066
659.00	0.062
660.00	0.060
661.00	0.058
662.00	0.055
663.00	0.052
664.00	0.050
665.00	0.048
666.00	0.045
667.00	0.044
668.00	0.041
669.00	0.039
670.00	0.037
671.00	0.035
672.00	0.034
673.00	0.032
674.00	0.030
675.00	0.029
676.00	0.028
677.00	0.026
678.00	0.024
679.00	0.024
680.00	0.024
681.00	0.021
682.00	0.019
683.00	0.019
684.00	0.017
685.00	0.017
686.00	0.016
687.00	0.015
688.00	0.012
689.00	0.013
690.00	0.013
691.00	0.012
692.00	0.010
693.00	0.009
694.00	0.009
695.00	0.008
696.00	0.008
697.00	0.006
698.00	0.007
699.00	0.006
700.00	0.004
701.00	0.005
702.00	0.005
703.00	0.004
704.00	0.003
705.00	0.001
706.00	0.003
707.00	0.000
708.00	0.002
709.00	0.000
710.00	0.000
711.00	0.000
712.00	0.001
713.00	-0.001
714.00	-0.002
715.00	-0.001
716.00	-0.003
717.00	-0.003
718.00	-0.002
719.00	-0.004
720.00	-0.004
721.00	-0.004
722.00	-0.005
723.00	-0.004
724.00	-0.004
725.00	-0.006
726.00	-0.005
727.00	-0.005
728.00	-0.006
729.00	-0.006
730.00	-0.008
731.00	-0.008
732.00	-0.008
733.00	-0.008
734.00	-0.008
735.00	-0.008
736.00	-0.010
737.00	-0.009
738.00	-0.009
739.00	-0.009
740.00	-0.010
741.00	-0.010
742.00	-0.010
743.00	-0.011
744.00	-0.012
745.00	-0.011
746.00	-0.011
747.00	-0.011
748.00	-0.012
749.00	-0.011
750.00	-0.010
751.00	-0.012
752.00	-0.012
753.00	-0.012
754.00	-0.011
755.00	-0.013
756.00	-0.013
757.00	-0.014
758.00	-0.015
759.00	-0.014
760.00	-0.013
761.00	-0.013
762.00	-0.014
763.00	-0.015
764.00	-0.014
765.00	-0.013
766.00	-0.014
767.00	-0.013
768.00	-0.014
769.00	-0.014
770.00	-0.017
771.00	-0.015
772.00	-0.015
773.00	-0.016
774.00	-0.016
775.00	-0.015
776.00	-0.016
777.00	-0.016
778.00	-0.017
779.00	-0.016
780.00	-0.015
781.00	-0.017
782.00	-0.016
783.00	-0.016
784.00	-0.016
785.00	-0.017
786.00	-0.017
