Batch	scan005.sre
UV540 113302	None
beetroot02 Cycle01	08/11/2022 15:56:21PM
nm	A
754.00	0.027
755.00	0.026
756.00	0.027
757.00	0.025
758.00	0.026
759.00	0.025
760.00	0.026
761.00	0.026
762.00	0.026
763.00	0.025
764.00	0.026
765.00	0.024
766.00	0.025
767.00	0.026
768.00	0.024
769.00	0.025
770.00	0.026
771.00	0.024
772.00	0.026
773.00	0.025
774.00	0.026
775.00	0.026
776.00	0.027
777.00	0.025
778.00	0.026
779.00	0.025
780.00	0.024
781.00	0.024
782.00	0.025
783.00	0.025
784.00	0.025
785.00	0.025
786.00	0.026
787.00	0.025
788.00	0.025
789.00	0.024
790.00	0.025
791.00	0.024
792.00	0.024
793.00	0.025
794.00	0.024
795.00	0.022
796.00	0.024
797.00	0.024
798.00	0.025
799.00	0.023
800.00	0.025
