Batch	SentiGlass_14Nov015.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	14/11/2022 11:29:48AM
nm	A
537.00	0.263
538.00	0.259
539.00	0.258
540.00	0.255
541.00	0.250
542.00	0.248
543.00	0.247
544.00	0.244
545.00	0.243
546.00	0.242
547.00	0.238
548.00	0.238
549.00	0.233
550.00	0.233
551.00	0.231
552.00	0.228
553.00	0.224
554.00	0.222
555.00	0.220
556.00	0.218
557.00	0.217
558.00	0.217
559.00	0.212
560.00	0.211
561.00	0.209
562.00	0.207
563.00	0.204
564.00	0.203
565.00	0.200
566.00	0.198
567.00	0.199
568.00	0.198
569.00	0.194
570.00	0.195
571.00	0.189
572.00	0.189
573.00	0.187
574.00	0.185
575.00	0.184
576.00	0.179
577.00	0.180
578.00	0.178
579.00	0.178
580.00	0.178
581.00	0.174
582.00	0.174
583.00	0.169
584.00	0.169
585.00	0.168
586.00	0.169
587.00	0.165
588.00	0.165
589.00	0.162
590.00	0.163
591.00	0.161
592.00	0.161
593.00	0.157
594.00	0.156
595.00	0.154
596.00	0.153
597.00	0.156
598.00	0.152
599.00	0.153
600.00	0.149
601.00	0.147
602.00	0.146
603.00	0.145
604.00	0.142
605.00	0.142
606.00	0.142
607.00	0.140
608.00	0.140
609.00	0.137
610.00	0.139
611.00	0.135
612.00	0.134
613.00	0.135
614.00	0.130
615.00	0.132
616.00	0.131
617.00	0.130
618.00	0.131
619.00	0.126
620.00	0.128
621.00	0.125
622.00	0.124
623.00	0.124
624.00	0.124
625.00	0.122
626.00	0.121
627.00	0.121
628.00	0.118
629.00	0.117
630.00	0.116
631.00	0.118
632.00	0.118
633.00	0.117
634.00	0.114
635.00	0.113
636.00	0.114
637.00	0.109
638.00	0.111
639.00	0.113
640.00	0.109
641.00	0.109
642.00	0.108
643.00	0.107
644.00	0.105
645.00	0.106
646.00	0.106
647.00	0.104
648.00	0.104
649.00	0.101
650.00	0.102
651.00	0.100
652.00	0.101
653.00	0.101
654.00	0.100
655.00	0.101
656.00	0.100
657.00	0.097
658.00	0.097
659.00	0.099
660.00	0.098
661.00	0.095
662.00	0.095
663.00	0.098
664.00	0.094
665.00	0.096
666.00	0.094
667.00	0.091
668.00	0.091
669.00	0.092
670.00	0.093
671.00	0.090
672.00	0.090
673.00	0.088
674.00	0.087
675.00	0.087
676.00	0.090
677.00	0.086
678.00	0.087
679.00	0.086
680.00	0.085
681.00	0.085
682.00	0.089
683.00	0.087
684.00	0.084
685.00	0.085
686.00	0.086
687.00	0.086
688.00	0.087
689.00	0.084
690.00	0.087
691.00	0.083
692.00	0.083
693.00	0.083
694.00	0.080
695.00	0.081
696.00	0.081
697.00	0.081
698.00	0.080
699.00	0.080
700.00	0.078
701.00	0.074
702.00	0.075
703.00	0.075
704.00	0.075
705.00	0.071
706.00	0.071
707.00	0.071
708.00	0.070
709.00	0.068
710.00	0.066
711.00	0.066
712.00	0.067
713.00	0.065
714.00	0.065
715.00	0.063
716.00	0.063
717.00	0.064
718.00	0.064
719.00	0.061
720.00	0.061
721.00	0.062
722.00	0.059
723.00	0.060
724.00	0.060
725.00	0.061
726.00	0.059
727.00	0.059
728.00	0.056
729.00	0.058
730.00	0.057
731.00	0.057
732.00	0.056
733.00	0.057
734.00	0.057
735.00	0.057
736.00	0.054
737.00	0.052
738.00	0.058
739.00	0.056
740.00	0.056
741.00	0.056
742.00	0.053
743.00	0.053
744.00	0.054
745.00	0.053
746.00	0.053
747.00	0.055
748.00	0.052
749.00	0.052
750.00	0.050
751.00	0.052
752.00	0.050
753.00	0.051
754.00	0.049
755.00	0.051
756.00	0.050
757.00	0.048
758.00	0.049
759.00	0.050
760.00	0.049
761.00	0.049
762.00	0.047
763.00	0.049
764.00	0.048
765.00	0.048
766.00	0.049
767.00	0.048
768.00	0.049
769.00	0.046
770.00	0.047
771.00	0.048
772.00	0.047
773.00	0.045
774.00	0.049
775.00	0.046
776.00	0.047
777.00	0.045
778.00	0.048
779.00	0.045
780.00	0.044
781.00	0.043
782.00	0.045
783.00	0.044
784.00	0.043
785.00	0.045
786.00	0.045
787.00	0.044
788.00	0.041
789.00	0.043
790.00	0.042
791.00	0.042
792.00	0.044
793.00	0.039
794.00	0.040
795.00	0.043
796.00	0.040
797.00	0.038
798.00	0.042
799.00	0.040
800.00	0.036
