Batch	scan002-blueberry.sre
UV540 113302	None
blueberry001 Cycle01	08/11/2022 16:18:09PM
nm	A
200.00	4.284
201.00	3.393
202.00	3.553
203.00	3.664
204.00	4.018
205.00	3.565
206.00	3.796
207.00	4.201
208.00	3.845
209.00	3.600
210.00	3.672
211.00	3.695
212.00	3.963
213.00	3.830
214.00	3.900
215.00	3.879
216.00	3.963
217.00	3.893
218.00	3.767
219.00	3.783
220.00	3.804
221.00	3.851
222.00	3.900
223.00	3.876
224.00	3.810
225.00	3.699
226.00	3.750
227.00	3.830
228.00	3.896
229.00	3.851
230.00	3.833
231.00	3.783
232.00	3.824
233.00	3.747
234.00	3.886
235.00	3.851
236.00	3.917
237.00	3.793
238.00	3.866
239.00	3.900
240.00	3.889
241.00	3.886
242.00	3.939
243.00	3.903
244.00	3.860
245.00	3.900
246.00	3.851
247.00	3.889
248.00	3.886
249.00	3.860
250.00	3.900
251.00	3.866
252.00	3.873
253.00	3.870
254.00	3.947
255.00	3.860
256.00	3.836
257.00	3.879
258.00	3.883
259.00	3.936
260.00	4.004
261.00	3.866
262.00	3.845
263.00	3.921
264.00	3.917
265.00	3.910
266.00	3.873
267.00	3.947
268.00	3.979
269.00	3.955
270.00	3.939
271.00	3.886
272.00	3.959
273.00	4.108
274.00	3.971
275.00	4.056
276.00	4.046
277.00	3.903
278.00	3.893
279.00	4.022
280.00	3.924
281.00	3.943
282.00	4.004
283.00	4.102
284.00	4.076
285.00	4.066
286.00	3.959
287.00	4.076
288.00	4.046
289.00	4.081
290.00	4.051
291.00	4.056
292.00	4.149
293.00	4.036
294.00	4.161
295.00	4.137
296.00	4.155
297.00	4.208
298.00	4.155
299.00	4.108
300.00	4.222
301.00	4.092
302.00	4.086
303.00	4.161
304.00	4.119
305.00	4.119
306.00	4.167
307.00	4.252
308.00	4.149
309.00	4.041
310.00	4.137
311.00	4.229
312.00	4.102
313.00	4.187
314.00	4.201
315.00	4.125
316.00	4.252
317.00	4.086
318.00	4.051
319.00	4.201
320.00	4.155
321.00	4.161
322.00	4.222
323.00	4.149
324.00	4.187
325.00	4.108
326.00	4.119
327.00	4.022
328.00	4.046
329.00	4.086
330.00	4.027
331.00	3.979
332.00	4.018
333.00	3.959
334.00	4.018
335.00	4.180
336.00	4.260
337.00	4.284
338.00	4.013
339.00	4.000
340.00	4.081
341.00	4.032
342.00	4.056
343.00	4.081
344.00	4.056
345.00	4.036
346.00	4.102
347.00	4.114
348.00	4.071
349.00	4.086
350.00	4.041
351.00	4.092
352.00	4.167
353.00	4.097
354.00	3.910
355.00	4.018
356.00	3.959
357.00	4.137
358.00	4.051
359.00	4.060
360.00	4.086
361.00	4.060
362.00	4.102
363.00	4.066
364.00	4.032
365.00	4.046
366.00	4.004
367.00	4.092
368.00	3.967
369.00	3.928
370.00	3.767
371.00	3.807
372.00	3.553
373.00	3.513
374.00	3.449
375.00	3.399
376.00	3.303
377.00	3.259
378.00	3.209
379.00	3.126
380.00	3.047
381.00	2.989
382.00	2.914
383.00	2.840
384.00	2.769
385.00	2.695
386.00	2.632
387.00	2.556
388.00	2.487
389.00	2.413
390.00	2.344
391.00	2.280
392.00	2.219
393.00	2.159
394.00	2.102
395.00	2.046
396.00	1.997
397.00	1.947
398.00	1.899
399.00	1.857
400.00	1.817
401.00	1.779
402.00	1.741
403.00	1.709
404.00	1.682
405.00	1.654
406.00	1.632
407.00	1.609
408.00	1.590
409.00	1.574
410.00	1.558
411.00	1.548
412.00	1.539
413.00	1.531
414.00	1.524
415.00	1.521
416.00	1.516
417.00	1.515
418.00	1.517
419.00	1.519
420.00	1.522
421.00	1.524
422.00	1.530
423.00	1.536
424.00	1.545
425.00	1.550
426.00	1.558
427.00	1.565
428.00	1.576
429.00	1.588
430.00	1.597
431.00	1.607
432.00	1.618
433.00	1.630
434.00	1.640
435.00	1.652
436.00	1.664
437.00	1.675
438.00	1.686
439.00	1.697
440.00	1.712
441.00	1.723
442.00	1.737
443.00	1.746
444.00	1.756
445.00	1.771
446.00	1.785
447.00	1.799
448.00	1.813
449.00	1.823
450.00	1.843
451.00	1.852
452.00	1.868
453.00	1.884
454.00	1.900
455.00	1.915
456.00	1.932
457.00	1.952
458.00	1.970
459.00	1.989
460.00	2.009
461.00	2.030
462.00	2.052
463.00	2.078
464.00	2.098
465.00	2.129
466.00	2.152
467.00	2.178
468.00	2.207
469.00	2.239
470.00	2.271
471.00	2.306
472.00	2.341
473.00	2.375
474.00	2.405
475.00	2.448
476.00	2.485
477.00	2.529
478.00	2.568
479.00	2.605
480.00	2.651
481.00	2.698
482.00	2.742
483.00	2.786
484.00	2.828
485.00	2.869
486.00	2.916
487.00	2.974
488.00	3.020
489.00	3.070
490.00	3.112
491.00	3.166
492.00	3.210
493.00	3.254
494.00	3.301
495.00	3.342
496.00	3.384
497.00	3.438
498.00	3.476
499.00	3.509
500.00	3.565
501.00	3.595
502.00	3.627
503.00	3.642
504.00	3.690
505.00	3.750
506.00	3.735
507.00	3.775
508.00	3.762
509.00	3.801
510.00	3.839
511.00	3.893
512.00	3.870
513.00	3.889
514.00	3.886
515.00	3.896
516.00	3.917
517.00	3.924
518.00	3.910
519.00	3.928
520.00	3.924
521.00	3.928
522.00	3.932
523.00	3.936
524.00	3.955
525.00	3.932
526.00	3.917
527.00	3.947
528.00	3.943
529.00	3.914
530.00	3.921
531.00	3.932
532.00	3.876
533.00	3.893
534.00	3.886
535.00	3.845
536.00	3.830
537.00	3.807
538.00	3.799
539.00	3.780
540.00	3.726
541.00	3.699
542.00	3.674
543.00	3.625
544.00	3.595
545.00	3.544
546.00	3.469
547.00	3.442
548.00	3.405
549.00	3.344
550.00	3.279
551.00	3.237
552.00	3.169
553.00	3.107
554.00	3.040
555.00	2.976
556.00	2.908
557.00	2.843
558.00	2.771
559.00	2.703
560.00	2.636
561.00	2.569
562.00	2.502
563.00	2.436
564.00	2.369
565.00	2.305
566.00	2.238
567.00	2.173
568.00	2.108
569.00	2.044
570.00	1.980
571.00	1.917
572.00	1.857
573.00	1.797
574.00	1.739
575.00	1.680
576.00	1.623
577.00	1.567
578.00	1.514
579.00	1.462
580.00	1.400
581.00	1.350
582.00	1.305
583.00	1.260
584.00	1.214
585.00	1.171
586.00	1.128
587.00	1.085
588.00	1.042
589.00	1.004
590.00	0.966
591.00	0.925
592.00	0.889
593.00	0.856
594.00	0.823
595.00	0.791
596.00	0.758
597.00	0.729
598.00	0.700
599.00	0.673
600.00	0.647
601.00	0.622
602.00	0.598
603.00	0.575
604.00	0.553
605.00	0.532
606.00	0.512
607.00	0.490
608.00	0.471
609.00	0.454
610.00	0.437
611.00	0.420
612.00	0.405
613.00	0.390
614.00	0.375
615.00	0.362
616.00	0.348
617.00	0.335
618.00	0.322
619.00	0.311
620.00	0.299
621.00	0.289
622.00	0.277
623.00	0.267
624.00	0.258
625.00	0.248
626.00	0.241
627.00	0.231
628.00	0.223
629.00	0.214
630.00	0.207
631.00	0.199
632.00	0.192
633.00	0.186
634.00	0.178
635.00	0.170
636.00	0.164
637.00	0.158
638.00	0.153
639.00	0.146
640.00	0.140
641.00	0.135
642.00	0.129
643.00	0.125
644.00	0.120
645.00	0.114
646.00	0.109
647.00	0.105
648.00	0.100
649.00	0.096
650.00	0.092
651.00	0.087
652.00	0.084
653.00	0.080
654.00	0.077
655.00	0.074
656.00	0.070
657.00	0.067
658.00	0.064
659.00	0.061
660.00	0.059
661.00	0.055
662.00	0.054
663.00	0.051
664.00	0.048
665.00	0.046
666.00	0.044
667.00	0.041
668.00	0.039
669.00	0.037
670.00	0.035
671.00	0.033
672.00	0.032
673.00	0.029
674.00	0.029
675.00	0.028
676.00	0.025
677.00	0.025
678.00	0.023
679.00	0.020
680.00	0.021
681.00	0.019
682.00	0.017
