Batch	scan006
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	16/11/2022 09:48:22AM
nm	A
692.00	0.186
693.00	0.182
694.00	0.185
695.00	0.185
696.00	0.184
697.00	0.181
698.00	0.182
699.00	0.181
700.00	0.180
701.00	0.180
702.00	0.180
703.00	0.180
704.00	0.178
705.00	0.178
706.00	0.176
707.00	0.176
708.00	0.176
709.00	0.175
710.00	0.174
711.00	0.176
712.00	0.174
713.00	0.175
714.00	0.172
715.00	0.174
716.00	0.172
717.00	0.170
718.00	0.172
719.00	0.172
720.00	0.170
721.00	0.170
722.00	0.169
723.00	0.169
724.00	0.168
725.00	0.168
726.00	0.167
727.00	0.168
728.00	0.166
729.00	0.167
730.00	0.164
731.00	0.167
732.00	0.166
733.00	0.164
734.00	0.165
735.00	0.163
736.00	0.164
737.00	0.161
738.00	0.162
739.00	0.161
740.00	0.161
741.00	0.162
742.00	0.162
743.00	0.159
744.00	0.159
745.00	0.158
746.00	0.160
747.00	0.157
748.00	0.156
749.00	0.157
750.00	0.158
751.00	0.158
752.00	0.156
753.00	0.155
754.00	0.155
755.00	0.155
756.00	0.154
757.00	0.155
758.00	0.154
759.00	0.153
760.00	0.153
761.00	0.150
762.00	0.153
763.00	0.153
764.00	0.151
765.00	0.150
766.00	0.151
767.00	0.150
768.00	0.150
769.00	0.148
770.00	0.148
771.00	0.150
772.00	0.149
773.00	0.149
774.00	0.149
775.00	0.148
776.00	0.148
777.00	0.148
778.00	0.145
779.00	0.148
780.00	0.144
781.00	0.144
782.00	0.145
783.00	0.143
784.00	0.143
785.00	0.144
786.00	0.143
787.00	0.145
788.00	0.144
789.00	0.142
790.00	0.143
791.00	0.145
792.00	0.141
793.00	0.141
794.00	0.143
795.00	0.142
796.00	0.142
797.00	0.140
798.00	0.139
799.00	0.139
800.00	0.141
