Batch	SentiGlass_14Nov006.sre
Evolution 600 288002	100%T Baseline Correction
Sample001 Cycle01	14/11/2022 10:56:23AM
nm	A
535.00	0.623
536.00	0.618
537.00	0.610
538.00	0.604
539.00	0.597
540.00	0.589
541.00	0.579
542.00	0.571
543.00	0.562
544.00	0.553
545.00	0.545
546.00	0.535
547.00	0.526
548.00	0.515
549.00	0.504
550.00	0.496
551.00	0.486
552.00	0.475
553.00	0.465
554.00	0.454
555.00	0.447
556.00	0.438
557.00	0.427
558.00	0.419
559.00	0.407
560.00	0.399
561.00	0.388
562.00	0.378
563.00	0.368
564.00	0.360
565.00	0.348
566.00	0.339
567.00	0.334
568.00	0.323
569.00	0.314
570.00	0.307
571.00	0.296
572.00	0.290
573.00	0.282
574.00	0.275
575.00	0.269
576.00	0.260
577.00	0.254
578.00	0.249
579.00	0.243
580.00	0.236
581.00	0.229
582.00	0.221
583.00	0.215
584.00	0.209
585.00	0.204
586.00	0.197
587.00	0.191
588.00	0.184
589.00	0.178
590.00	0.174
591.00	0.170
592.00	0.167
593.00	0.162
594.00	0.156
595.00	0.154
596.00	0.149
597.00	0.147
598.00	0.141
599.00	0.141
600.00	0.137
601.00	0.132
602.00	0.128
603.00	0.124
604.00	0.121
605.00	0.118
606.00	0.115
607.00	0.110
608.00	0.107
609.00	0.101
610.00	0.100
611.00	0.097
612.00	0.094
613.00	0.090
614.00	0.086
615.00	0.086
616.00	0.083
617.00	0.081
618.00	0.080
619.00	0.076
620.00	0.077
621.00	0.072
622.00	0.071
623.00	0.070
624.00	0.067
625.00	0.065
626.00	0.064
627.00	0.062
628.00	0.058
629.00	0.056
630.00	0.053
631.00	0.052
632.00	0.051
633.00	0.050
634.00	0.045
635.00	0.043
636.00	0.040
637.00	0.037
638.00	0.036
639.00	0.034
640.00	0.034
641.00	0.030
642.00	0.029
643.00	0.027
644.00	0.026
645.00	0.025
646.00	0.024
647.00	0.022
648.00	0.020
649.00	0.018
650.00	0.019
651.00	0.015
652.00	0.017
653.00	0.017
654.00	0.013
655.00	0.014
656.00	0.011
657.00	0.007
658.00	0.007
659.00	0.008
660.00	0.005
661.00	0.002
662.00	0.000
663.00	0.000
664.00	-0.004
665.00	-0.003
666.00	-0.007
667.00	-0.009
668.00	-0.009
669.00	-0.012
670.00	-0.012
671.00	-0.014
672.00	-0.015
673.00	-0.017
674.00	-0.018
675.00	-0.019
676.00	-0.018
677.00	-0.023
678.00	-0.023
679.00	-0.023
680.00	-0.024
681.00	-0.022
682.00	-0.020
683.00	-0.022
684.00	-0.025
685.00	-0.025
686.00	-0.024
687.00	-0.026
688.00	-0.027
689.00	-0.029
690.00	-0.028
691.00	-0.031
692.00	-0.033
693.00	-0.035
694.00	-0.038
695.00	-0.039
696.00	-0.042
697.00	-0.043
698.00	-0.045
699.00	-0.045
700.00	-0.048
701.00	-0.052
702.00	-0.053
703.00	-0.054
704.00	-0.054
705.00	-0.058
706.00	-0.058
707.00	-0.057
708.00	-0.059
709.00	-0.060
710.00	-0.062
711.00	-0.060
712.00	-0.060
713.00	-0.061
714.00	-0.062
715.00	-0.062
716.00	-0.062
717.00	-0.063
718.00	-0.064
719.00	-0.065
720.00	-0.066
721.00	-0.064
722.00	-0.067
723.00	-0.068
724.00	-0.070
725.00	-0.070
726.00	-0.072
727.00	-0.072
728.00	-0.079
729.00	-0.078
730.00	-0.078
731.00	-0.080
732.00	-0.082
733.00	-0.082
734.00	-0.084
735.00	-0.086
736.00	-0.087
737.00	-0.087
738.00	-0.086
739.00	-0.085
740.00	-0.085
741.00	-0.087
742.00	-0.085
743.00	-0.085
744.00	-0.083
745.00	-0.084
746.00	-0.081
747.00	-0.080
748.00	-0.081
749.00	-0.080
750.00	-0.082
751.00	-0.079
752.00	-0.080
753.00	-0.079
754.00	-0.080
755.00	-0.078
756.00	-0.081
757.00	-0.081
758.00	-0.081
759.00	-0.083
760.00	-0.084
761.00	-0.083
762.00	-0.087
763.00	-0.087
764.00	-0.089
765.00	-0.091
766.00	-0.091
767.00	-0.092
768.00	-0.093
769.00	-0.095
770.00	-0.094
771.00	-0.098
772.00	-0.097
773.00	-0.097
774.00	-0.097
775.00	-0.097
776.00	-0.097
777.00	-0.096
778.00	-0.095
779.00	-0.094
780.00	-0.094
781.00	-0.094
782.00	-0.092
783.00	-0.092
784.00	-0.091
785.00	-0.086
786.00	-0.087
787.00	-0.087
788.00	-0.085
789.00	-0.085
790.00	-0.085
791.00	-0.084
792.00	-0.082
793.00	-0.084
794.00	-0.085
795.00	-0.082
796.00	-0.085
797.00	-0.085
798.00	-0.084
799.00	-0.087
800.00	-0.090
